genus	num	p	r
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella	5023	0.0375885102041488	0.467669172932331
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Niastella	270	0.0322517822472215	0.479879687941661
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Amoebophilaceae|g_Candidatus Amoebophilus	11	0.00558693667239587	-0.595633205601257
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Blattabacteriaceae|g_Blattabacterium	296	0.000431389679884632	-0.711813595034227
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Aequorivita	373	0.00488661231502584	-0.603007518796992
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Algibacter	148	0.000120325480167056	-0.754702997694851
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Cellulophaga	199	0.0390026194861654	-0.464661654135338
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Empedobacter	143	0.0295673236682779	0.486629864822256
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavivirga	100	0.0331904392033511	-0.477623200380806
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Gilvibacter	287	0.00321099958612553	-0.625047054356614
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Lacinutrix	249	0.00429075645196952	-0.61000380395092
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Maribacter	881	0.0467019093880629	-0.449624060150376
